campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,new_roas,CTR,Conversion Rate
691873,App Push Notification,27/06/2024,All,Social Media,"5,652.00",128.00,43.00,"3,702.41","8,025.93",3.98,2.17,2.26%,33.59%
481626,New User Discount,05/06/2024,New Users,Social Media,"3,978.00",259.00,96.00,"1,085.61","8,925.35",3.98,8.22,6.51%,37.07%
971881,Flash Sale,28/05/2024,New Users,Social Media,"9,986.00",102.00,70.00,"1,033.75","5,378.34",3.98,5.20,1.02%,68.63%
313063,New User Discount,18/05/2024,New Users,SMS,"6,579.00",576.00,78.00,"3,856.16","3,678.96",3.98,0.95,8.76%,13.54%
908643,Weekend Special,10/05/2024,Premium,App,"2,355.00",421.00,66.00,"4,566.66","9,352.59",3.98,2.05,17.88%,15.68%
785360,Festival Offer,29/04/2024,New Users,App,"2,945.00",670.00,21.00,"1,701.86","6,398.28",3.98,3.76,22.75%,3.13%
128692,App Push Notification,28/04/2024,All,SMS,"5,521.00",449.00,25.00,"3,762.90","3,844.97",3.98,1.02,8.13%,5.57%
745320,Membership Drive,27/02/2024,All,Email,"1,481.00",549.00,72.00,"1,172.84","2,294.15",3.98,1.96,37.07%,13.11%
434842,Referral Program,23/01/2024,New Users,SMS,"7,127.00",674.00,96.00,"4,215.54","7,881.17",3.98,1.87,9.46%,14.24%
6811,Flash Sale,29/12/2023,New Users,Social Media,"1,440.00",315.00,21.00,"2,243.75","3,967.38",3.98,1.77,21.88%,6.67%
665642,Email Campaign,21/12/2023,Inactive,SMS,"6,732.00",548.00,78.00,"4,274.51","5,277.18",3.98,1.23,8.14%,14.23%
386205,New User Discount,02/11/2023,All,Email,"9,640.00",451.00,53.00,"3,828.98","8,550.64",3.98,2.23,4.68%,11.75%
906748,App Push Notification,18/10/2023,Inactive,App,"2,335.00",727.00,50.00,"3,523.32","6,064.86",3.98,1.72,31.13%,6.88%
130120,App Push Notification,18/09/2023,All,Email,"6,748.00",893.00,89.00,"1,847.83","3,624.38",3.98,1.96,13.23%,9.97%
894214,Category Promotion,30/07/2023,All,App,"8,349.00",489.00,43.00,"4,210.88","4,849.77",3.98,1.15,5.86%,8.79%
903816,App Push Notification,06/05/2023,New Users,App,"2,128.00",390.00,26.00,"4,335.38","6,926.23",3.98,1.60,18.33%,6.67%
811435,New User Discount,14/04/2023,New Users,Email,"5,662.00",124.00,88.00,"2,275.81","7,033.22",3.98,3.09,2.19%,70.97%
879292,App Push Notification,17/03/2023,All,App,"8,480.00",734.00,20.00,"1,990.75","6,650.41",3.98,3.34,8.66%,2.72%
679443,Membership Drive,23/09/2024,Premium,App,"8,002.00",642.00,20.00,"3,438.57","4,762.77",3.97,1.39,8.02%,3.12%
694681,Flash Sale,26/08/2024,All,Social Media,"3,665.00",203.00,78.00,"1,299.03","3,399.25",3.97,2.62,5.54%,38.42%
611183,Festival Offer,29/07/2024,All,SMS,"1,335.00",386.00,18.00,"1,515.91","8,280.68",3.97,5.46,28.91%,4.66%
807142,Email Campaign,10/06/2024,New Users,Social Media,"9,263.00",753.00,24.00,"3,493.33","8,458.35",3.97,2.42,8.13%,3.19%
297626,Weekend Special,05/06/2024,Premium,Social Media,"1,366.00",905.00,62.00,"4,880.16","4,900.71",3.97,1.00,66.25%,6.85%
993421,App Push Notification,10/05/2024,Inactive,Social Media,"4,392.00",407.00,51.00,"1,199.37","6,366.79",3.97,5.31,9.27%,12.53%
510224,Email Campaign,09/05/2024,All,Email,"3,470.00",387.00,44.00,"2,573.48","8,936.86",3.97,3.47,11.15%,11.37%
64474,Weekend Special,08/04/2024,Premium,Email,"2,844.00",936.00,92.00,"4,336.07","2,814.73",3.97,0.65,32.91%,9.83%
722136,Festival Offer,20/01/2024,Premium,Email,"2,822.00",925.00,55.00,"1,823.31","6,615.58",3.97,3.63,32.78%,5.95%
616855,Category Promotion,23/12/2023,New Users,Email,"7,652.00",291.00,78.00,"2,503.67","7,073.24",3.97,2.83,3.80%,26.80%
309673,Festival Offer,11/12/2023,New Users,SMS,"9,353.00",543.00,40.00,"1,295.06","9,578.74",3.97,7.40,5.81%,7.37%
894884,Category Promotion,28/11/2023,Inactive,SMS,"1,301.00",269.00,97.00,"2,317.37","9,799.65",3.97,4.23,20.68%,36.06%
52985,Festival Offer,21/11/2023,Inactive,Social Media,"8,089.00",753.00,45.00,"4,940.10","3,426.64",3.97,0.69,9.31%,5.98%
865351,Weekend Special,12/11/2023,New Users,Email,"9,672.00",151.00,84.00,"2,695.13","4,933.22",3.97,1.83,1.56%,55.63%
348097,Festival Offer,06/11/2023,New Users,App,"2,660.00",354.00,82.00,"2,173.39","8,468.66",3.97,3.90,13.31%,23.16%
118633,Membership Drive,23/10/2023,Premium,SMS,"7,839.00",861.00,90.00,"4,991.34","5,272.46",3.97,1.06,10.98%,10.45%
590766,Flash Sale,06/10/2023,All,App,"5,944.00",621.00,15.00,"4,695.81","9,744.23",3.97,2.08,10.45%,2.42%
358484,Festival Offer,04/10/2023,All,Social Media,"4,946.00",127.00,69.00,"3,729.71","3,991.17",3.97,1.07,2.57%,54.33%
523211,Referral Program,28/09/2023,New Users,Email,"3,044.00",340.00,38.00,"2,894.58","8,792.72",3.97,3.04,11.17%,11.18%
763904,Category Promotion,18/09/2023,All,Email,"8,504.00",735.00,91.00,"1,360.45","6,448.09",3.97,4.74,8.64%,12.38%
160462,Weekend Special,13/08/2023,New Users,App,"6,929.00",254.00,86.00,"3,471.27","8,306.67",3.97,2.39,3.67%,33.86%
147242,Category Promotion,07/08/2023,New Users,SMS,"4,133.00",946.00,31.00,"3,272.29","2,319.46",3.97,0.71,22.89%,3.28%
219747,App Push Notification,18/06/2023,All,Social Media,"3,256.00",693.00,16.00,"4,803.86","3,497.09",3.97,0.73,21.28%,2.31%
966350,Weekend Special,19/05/2023,Premium,Email,"8,310.00",936.00,61.00,"4,366.54","5,555.01",3.97,1.27,11.26%,6.52%
896959,Referral Program,29/03/2023,All,Email,"4,563.00",826.00,40.00,"3,132.83","9,986.03",3.97,3.19,18.10%,4.84%
618967,New User Discount,12/10/2024,New Users,App,"1,582.00",975.00,96.00,"1,487.46","7,566.78",3.96,5.09,61.63%,9.85%
608338,Festival Offer,10/09/2024,Inactive,Social Media,"8,906.00",761.00,15.00,"4,494.13","7,443.03",3.96,1.66,8.54%,1.97%
947076,App Push Notification,28/08/2024,Inactive,SMS,"6,307.00",711.00,29.00,"1,798.32","5,753.52",3.96,3.20,11.27%,4.08%
819722,Category Promotion,02/04/2024,Inactive,Email,"6,910.00",142.00,96.00,"2,289.85","2,726.12",3.96,1.19,2.05%,67.61%
831926,Festival Offer,31/03/2024,Inactive,Email,"6,489.00",966.00,16.00,"4,405.44","5,865.16",3.96,1.33,14.89%,1.66%
503333,Referral Program,08/03/2024,All,Email,"4,604.00",439.00,19.00,"3,350.09","9,910.92",3.96,2.96,9.54%,4.33%
263758,Weekend Special,13/02/2024,All,Email,"8,049.00",812.00,30.00,"3,087.55","3,041.50",3.96,0.99,10.09%,3.69%
156392,Flash Sale,03/02/2024,Premium,SMS,"1,642.00",372.00,30.00,"1,793.48","9,832.31",3.96,5.48,22.66%,8.06%
268057,New User Discount,01/02/2024,Premium,Social Media,"1,793.00",480.00,34.00,"3,831.38","6,711.92",3.96,1.75,26.77%,7.08%
958322,Festival Offer,29/11/2023,All,Email,"3,058.00",134.00,15.00,"3,590.36","9,110.49",3.96,2.54,4.38%,11.19%
820408,New User Discount,11/11/2023,New Users,Social Media,"8,822.00",719.00,83.00,"4,375.96","7,329.74",3.96,1.68,8.15%,11.54%
656190,Referral Program,08/11/2023,New Users,SMS,"2,030.00",890.00,48.00,"4,253.58","2,117.80",3.96,0.50,43.84%,5.39%
400698,Flash Sale,13/10/2023,Premium,Email,"1,856.00",999.00,47.00,"4,754.80","8,008.34",3.96,1.68,53.83%,4.70%
159094,Referral Program,03/10/2023,New Users,App,"2,167.00",111.00,10.00,"3,992.97","6,768.54",3.96,1.70,5.12%,9.01%
584348,Email Campaign,18/07/2023,All,SMS,"5,325.00",399.00,17.00,"4,593.91","8,585.46",3.96,1.87,7.49%,4.26%
501729,Referral Program,25/06/2023,Premium,SMS,"9,632.00",684.00,67.00,"2,021.79","3,508.23",3.96,1.74,7.10%,9.80%
600097,New User Discount,26/04/2023,Premium,App,"8,113.00",530.00,79.00,"4,603.36","6,575.42",3.96,1.43,6.53%,14.91%
556108,Category Promotion,05/04/2023,All,App,"5,089.00",475.00,14.00,"3,669.80","8,122.74",3.96,2.21,9.33%,2.95%
208085,Flash Sale,04/04/2023,New Users,Email,"8,729.00",599.00,97.00,"3,266.41","4,890.52",3.96,1.50,6.86%,16.19%
358482,Weekend Special,30/10/2024,New Users,App,"4,788.00",628.00,76.00,"2,603.20","2,979.58",3.95,1.14,13.12%,12.10%
44861,Flash Sale,10/10/2024,All,SMS,"1,281.00",519.00,64.00,"3,766.62","6,098.23",3.95,1.62,40.52%,12.33%
569878,Flash Sale,02/08/2024,All,Social Media,"5,863.00",717.00,76.00,"2,455.64","7,618.35",3.95,3.10,12.23%,10.60%
594632,Festival Offer,30/06/2024,All,App,"6,917.00",204.00,13.00,"4,736.98","6,076.13",3.95,1.28,2.95%,6.37%
557702,Email Campaign,29/05/2024,Inactive,Social Media,"7,270.00",807.00,83.00,"4,689.12","6,369.69",3.95,1.36,11.10%,10.29%
666328,App Push Notification,21/05/2024,New Users,Social Media,"8,350.00",668.00,15.00,"4,723.86","6,597.46",3.95,1.40,8.00%,2.25%
664932,Flash Sale,17/03/2024,Inactive,SMS,"9,273.00",610.00,14.00,"3,069.41","3,812.98",3.95,1.24,6.58%,2.30%
513196,Festival Offer,06/03/2024,All,SMS,"7,723.00",570.00,91.00,"1,327.46","3,243.37",3.95,2.44,7.38%,15.96%
44684,App Push Notification,14/01/2024,Premium,SMS,"2,745.00",236.00,84.00,"1,456.71","7,139.62",3.95,4.90,8.60%,35.59%
195261,Festival Offer,08/12/2023,Premium,SMS,"5,800.00",915.00,12.00,"3,629.38","5,089.26",3.95,1.40,15.78%,1.31%
525544,Festival Offer,16/10/2023,Inactive,Email,"1,295.00",563.00,36.00,"4,277.27","3,432.54",3.95,0.80,43.47%,6.39%
553929,Festival Offer,21/09/2023,All,Email,"5,281.00",563.00,15.00,"2,368.21","4,182.52",3.95,1.77,10.66%,2.66%
10864,Weekend Special,17/09/2023,All,Social Media,"2,756.00",890.00,12.00,"4,138.23","6,336.74",3.95,1.53,32.29%,1.35%
504203,Membership Drive,03/09/2023,All,Email,"3,667.00",163.00,30.00,"3,682.21","8,139.30",3.95,2.21,4.45%,18.40%
105122,Referral Program,02/09/2023,Premium,Email,"7,670.00",281.00,71.00,"1,554.87","2,259.00",3.95,1.45,3.66%,25.27%
787853,Referral Program,28/07/2023,New Users,Social Media,"5,265.00",963.00,49.00,"4,882.19","8,546.74",3.95,1.75,18.29%,5.09%
625996,Membership Drive,29/06/2023,Premium,Social Media,"7,584.00",956.00,56.00,"3,928.80","3,332.96",3.95,0.85,12.61%,5.86%
493290,Flash Sale,23/06/2023,New Users,App,"5,068.00",891.00,48.00,"2,854.05","3,892.11",3.95,1.36,17.58%,5.39%
292188,Flash Sale,25/05/2023,New Users,App,"7,725.00",570.00,43.00,"3,611.85","3,084.04",3.95,0.85,7.38%,7.54%
719654,Category Promotion,05/05/2023,New Users,SMS,"1,077.00",581.00,42.00,"2,297.16","6,388.80",3.95,2.78,53.95%,7.23%
929421,Referral Program,21/10/2024,All,Social Media,"7,680.00",829.00,81.00,"1,652.23","2,181.47",3.94,1.32,10.79%,9.77%
896324,New User Discount,26/09/2024,Premium,SMS,"6,359.00",576.00,35.00,"1,066.47","6,415.95",3.94,6.02,9.06%,6.08%
659493,New User Discount,17/09/2024,All,Social Media,"5,499.00",366.00,88.00,"3,002.92","2,363.10",3.94,0.79,6.66%,24.04%
397113,Festival Offer,03/05/2024,Premium,SMS,"4,601.00",232.00,29.00,"4,184.08","3,620.19",3.94,0.87,5.04%,12.50%
507330,Email Campaign,24/03/2024,New Users,SMS,"8,744.00",588.00,48.00,"1,417.98","7,441.58",3.94,5.25,6.72%,8.16%
234282,Email Campaign,23/03/2024,New Users,Email,"1,512.00",686.00,51.00,"2,458.92","9,792.05",3.94,3.98,45.37%,7.43%
794791,New User Discount,11/03/2024,All,Email,"4,447.00",188.00,100.00,"2,819.80","6,868.98",3.94,2.44,4.23%,53.19%
870966,Referral Program,01/02/2024,Premium,Email,"7,498.00",509.00,78.00,"4,755.23","2,119.90",3.94,0.45,6.79%,15.32%
854453,Weekend Special,17/01/2024,Premium,Social Media,"9,700.00",894.00,84.00,"3,820.86","3,129.44",3.94,0.82,9.22%,9.40%
44995,New User Discount,12/01/2024,New Users,App,"8,492.00",555.00,44.00,"4,186.96","9,300.46",3.94,2.22,6.54%,7.93%
761155,New User Discount,23/12/2023,New Users,SMS,"7,574.00",964.00,83.00,"4,732.98","9,291.31",3.94,1.96,12.73%,8.61%
968527,Membership Drive,13/12/2023,New Users,Email,"3,859.00",924.00,100.00,"1,127.10","7,559.64",3.94,6.71,23.94%,10.82%
431600,Flash Sale,12/11/2023,New Users,App,"4,425.00",194.00,95.00,"1,351.21","3,520.09",3.94,2.61,4.38%,48.97%
86194,App Push Notification,30/10/2023,Premium,Social Media,"8,320.00",539.00,22.00,"3,977.44","2,918.56",3.94,0.73,6.48%,4.08%
901637,App Push Notification,12/10/2023,Inactive,SMS,"6,570.00",505.00,22.00,"1,796.62","8,020.23",3.94,4.46,7.69%,4.36%
521349,Email Campaign,24/08/2023,Inactive,SMS,"5,393.00",305.00,99.00,"1,031.78","6,586.70",3.94,6.38,5.66%,32.46%
323589,New User Discount,19/07/2023,Premium,App,"4,702.00",683.00,11.00,"1,296.31","2,209.81",3.94,1.70,14.53%,1.61%
402517,Weekend Special,25/05/2023,New Users,SMS,"1,553.00",736.00,47.00,"3,782.54","4,133.94",3.94,1.09,47.39%,6.39%
509467,New User Discount,15/04/2023,New Users,Email,"5,271.00",423.00,34.00,"3,168.18","8,776.82",3.94,2.77,8.03%,8.04%
22459,New User Discount,25/08/2024,All,App,"7,793.00",427.00,30.00,"4,221.53","6,827.30",3.93,1.62,5.48%,7.03%
810545,Email Campaign,16/08/2024,Premium,App,"8,605.00",163.00,71.00,"1,401.29","2,220.55",3.93,1.58,1.89%,43.56%
3645,App Push Notification,29/05/2024,All,App,"2,629.00",264.00,34.00,"4,888.62","7,441.19",3.93,1.52,10.04%,12.88%
608980,Weekend Special,26/05/2024,New Users,Social Media,"6,551.00",809.00,30.00,"4,525.56","6,718.52",3.93,1.48,12.35%,3.71%
872057,Weekend Special,19/04/2024,Inactive,Social Media,"8,776.00",830.00,56.00,"3,550.26","2,814.38",3.93,0.79,9.46%,6.75%
92221,Weekend Special,03/04/2024,Inactive,Email,"8,972.00",640.00,92.00,"1,349.36","4,183.07",3.93,3.10,7.13%,14.38%
481810,Referral Program,19/03/2024,All,App,"9,717.00",151.00,93.00,"3,297.10","4,659.47",3.93,1.41,1.55%,61.59%
531774,Festival Offer,28/02/2024,New Users,SMS,"1,961.00",310.00,35.00,"4,159.94","8,058.70",3.93,1.94,15.81%,11.29%
829033,New User Discount,22/02/2024,All,Social Media,"3,786.00",272.00,52.00,"2,916.59","5,707.56",3.93,1.96,7.18%,19.12%
762397,Email Campaign,11/02/2024,New Users,SMS,"9,186.00",373.00,11.00,"4,476.46","7,234.38",3.93,1.62,4.06%,2.95%
911228,Festival Offer,10/02/2024,All,App,"5,164.00",994.00,83.00,"1,891.55","5,715.13",3.93,3.02,19.25%,8.35%
721672,Email Campaign,18/01/2024,New Users,SMS,"5,960.00",297.00,95.00,"3,195.01","5,159.67",3.93,1.61,4.98%,31.99%
775591,Referral Program,15/01/2024,Inactive,SMS,"2,277.00",804.00,82.00,"1,871.36","7,015.18",3.93,3.75,35.31%,10.20%
614369,Flash Sale,13/01/2024,Inactive,Email,"1,970.00",719.00,13.00,"4,339.37","5,347.82",3.93,1.23,36.50%,1.81%
600054,Email Campaign,25/12/2023,Inactive,SMS,"9,964.00",714.00,72.00,"1,392.57","6,067.95",3.93,4.36,7.17%,10.08%
7258,Weekend Special,24/11/2023,New Users,Social Media,"1,403.00",226.00,73.00,"2,002.00","7,407.03",3.93,3.70,16.11%,32.30%
21518,Category Promotion,31/10/2023,Inactive,App,"8,017.00",305.00,55.00,"1,223.86","7,713.38",3.93,6.30,3.80%,18.03%
715540,New User Discount,12/09/2023,New Users,App,"2,190.00",687.00,12.00,"1,562.73","7,094.93",3.93,4.54,31.37%,1.75%
70208,Flash Sale,25/07/2023,Premium,Email,"7,490.00",394.00,37.00,"4,436.24","9,422.68",3.93,2.12,5.26%,9.39%
616782,Membership Drive,12/06/2023,All,App,"7,634.00",169.00,44.00,"1,604.07","9,147.03",3.93,5.70,2.21%,26.04%
379241,Flash Sale,21/04/2023,Inactive,Social Media,"3,960.00",271.00,98.00,"4,337.96","3,897.25",3.93,0.90,6.84%,36.16%
705949,New User Discount,10/04/2023,All,Social Media,"9,221.00",106.00,70.00,"2,141.32","5,650.53",3.93,2.64,1.15%,66.04%
487032,Email Campaign,24/03/2023,All,Social Media,"1,305.00",912.00,44.00,"3,755.14","3,285.47",3.93,0.87,69.89%,4.82%
5516,Email Campaign,05/11/2024,Premium,Social Media,"1,559.00",418.00,68.00,"1,457.88","2,156.09",3.92,1.48,26.81%,16.27%
539488,Flash Sale,22/09/2024,New Users,App,"5,322.00",715.00,21.00,"1,382.87","5,066.64",3.92,3.66,13.43%,2.94%
353164,Category Promotion,17/09/2024,All,App,"6,998.00",283.00,46.00,"3,344.54","7,301.58",3.92,2.18,4.04%,16.25%
143504,Festival Offer,27/08/2024,New Users,SMS,"1,800.00",452.00,49.00,"4,981.39","3,726.88",3.92,0.75,25.11%,10.84%
142246,Festival Offer,13/08/2024,New Users,Social Media,"4,322.00",323.00,26.00,"1,001.85","9,085.03",3.92,9.07,7.47%,8.05%
70917,App Push Notification,17/07/2024,All,SMS,"3,656.00",800.00,80.00,"1,558.91","4,051.96",3.92,2.60,21.88%,10.00%
1966,Referral Program,03/07/2024,All,App,"1,515.00",924.00,96.00,"3,621.59","5,330.49",3.92,1.47,60.99%,10.39%
64362,App Push Notification,03/05/2024,All,App,"5,559.00",276.00,58.00,"4,143.46","6,518.69",3.92,1.57,4.96%,21.01%
109153,Weekend Special,26/04/2024,New Users,Social Media,"9,827.00",195.00,91.00,"1,545.18","9,459.01",3.92,6.12,1.98%,46.67%
495970,App Push Notification,24/03/2024,Inactive,Social Media,"6,868.00",845.00,32.00,"3,844.36","7,566.56",3.92,1.97,12.30%,3.79%
365732,Membership Drive,27/12/2023,Inactive,Email,"7,506.00",246.00,53.00,"4,493.88","5,616.31",3.92,1.25,3.28%,21.54%
46333,Category Promotion,10/12/2023,All,Social Media,"6,866.00",825.00,56.00,"4,794.23","6,201.25",3.92,1.29,12.02%,6.79%
54622,Email Campaign,16/11/2023,New Users,SMS,"4,405.00",591.00,64.00,"4,576.74","8,380.71",3.92,1.83,13.42%,10.83%
350837,Email Campaign,12/11/2023,Inactive,App,"9,580.00",703.00,51.00,"3,556.50","5,723.73",3.92,1.61,7.34%,7.25%
130091,App Push Notification,05/11/2023,New Users,Email,"1,906.00",970.00,39.00,"1,922.39","7,865.50",3.92,4.09,50.89%,4.02%
326770,App Push Notification,15/08/2023,All,App,"8,155.00",360.00,67.00,"1,816.43","9,496.53",3.92,5.23,4.41%,18.61%
268949,New User Discount,01/08/2023,All,Email,"8,150.00",182.00,85.00,"4,325.42","5,286.96",3.92,1.22,2.23%,46.70%
583600,Membership Drive,16/07/2023,All,App,"5,548.00",446.00,68.00,"2,215.86","7,047.87",3.92,3.18,8.04%,15.25%
61544,New User Discount,07/07/2023,Premium,Email,"3,152.00",784.00,23.00,"2,896.94","8,139.03",3.92,2.81,24.87%,2.93%
276546,New User Discount,31/03/2023,New Users,SMS,"3,911.00",844.00,74.00,"2,361.64","3,959.62",3.92,1.68,21.58%,8.77%
432274,Flash Sale,12/08/2024,Premium,Social Media,"7,845.00",928.00,29.00,"3,726.48","7,618.08",3.91,2.04,11.83%,3.13%
234930,Weekend Special,24/07/2024,All,Social Media,"3,135.00",830.00,25.00,"3,881.66","2,497.19",3.91,0.64,26.48%,3.01%
502855,New User Discount,19/07/2024,All,App,"1,082.00",480.00,34.00,"1,650.20","7,354.26",3.91,4.46,44.36%,7.08%
348245,Flash Sale,09/06/2024,New Users,Email,"3,667.00",764.00,44.00,"2,934.13","4,935.82",3.91,1.68,20.83%,5.76%
412947,Festival Offer,16/05/2024,Inactive,Email,"6,828.00",639.00,89.00,"1,785.55","7,382.44",3.91,4.13,9.36%,13.93%
43680,Flash Sale,23/03/2024,New Users,Email,"2,410.00",953.00,98.00,"1,468.31","9,219.99",3.91,6.28,39.54%,10.28%
231907,Membership Drive,11/03/2024,Inactive,SMS,"3,545.00",841.00,23.00,"2,402.72","3,252.91",3.91,1.35,23.72%,2.73%
119836,Weekend Special,06/03/2024,Premium,Email,"7,945.00",840.00,88.00,"4,335.85","2,977.36",3.91,0.69,10.57%,10.48%
701730,Category Promotion,09/02/2024,All,Email,"1,583.00",305.00,71.00,"2,940.64","8,325.66",3.91,2.83,19.27%,23.28%
71320,New User Discount,06/02/2024,Premium,SMS,"3,618.00",573.00,67.00,"1,784.75","5,049.29",3.91,2.83,15.84%,11.69%
788001,Category Promotion,05/02/2024,All,App,"1,966.00",851.00,56.00,"3,525.18","8,224.17",3.91,2.33,43.29%,6.58%
105853,App Push Notification,17/01/2024,All,Email,"4,132.00",183.00,59.00,"3,234.90","7,372.54",3.91,2.28,4.43%,32.24%
602887,Weekend Special,14/12/2023,Inactive,Email,"2,299.00",605.00,80.00,"2,992.02","7,157.17",3.91,2.39,26.32%,13.22%
249499,Referral Program,14/11/2023,All,Email,"3,935.00",494.00,27.00,"3,858.00","8,669.26",3.91,2.25,12.55%,5.47%
470567,New User Discount,15/10/2023,New Users,App,"6,576.00",768.00,86.00,"2,674.85","5,872.53",3.91,2.20,11.68%,11.20%
559527,New User Discount,03/10/2023,Premium,App,"7,450.00",496.00,72.00,"4,915.60","4,048.84",3.91,0.82,6.66%,14.52%
625499,Membership Drive,20/08/2023,New Users,App,"8,594.00",637.00,78.00,"4,311.64","9,672.83",3.91,2.24,7.41%,12.24%
126647,Membership Drive,13/08/2023,Inactive,App,"5,634.00",901.00,57.00,"4,438.87","6,195.07",3.91,1.40,15.99%,6.33%
855731,Category Promotion,05/08/2023,Inactive,App,"6,188.00",127.00,47.00,"4,520.91","8,288.16",3.91,1.83,2.05%,37.01%
494982,Referral Program,23/07/2023,Premium,Social Media,"3,232.00",144.00,79.00,"3,628.80","2,660.81",3.91,0.73,4.46%,54.86%
623276,Festival Offer,13/06/2023,All,App,"5,416.00",925.00,31.00,"4,861.23","7,886.02",3.91,1.62,17.08%,3.35%
41094,App Push Notification,07/06/2023,New Users,Email,"2,471.00",642.00,64.00,"4,045.98","5,552.56",3.91,1.37,25.98%,9.97%
934062,Membership Drive,16/05/2023,All,App,"5,428.00",567.00,22.00,"3,999.89","4,399.76",3.91,1.10,10.45%,3.88%
